PassengerId	Survived	Pclass	Sex	Age	Relatives
d	d	d	d	d	d
	c
1	dead	3	male	adult	haskins
2	live	1	female	adult	haskins
3	live	3	female	adult	nokins
4	live	1	female	adult	haskins
5	dead	3	male	adult	nokins
6	dead	3	male		nokins
7	dead	1	male	adult	nokins
8	dead	3	male	teen	haskins
9	live	3	female	adult	haskins
10	live	2	female	teen	haskins
11	live	3	female	teen	haskins
12	live	1	female	old	nokins
13	dead	3	male	adult	nokins
14	dead	3	male	adult	haskins
15	dead	3	female	teen	nokins
16	live	2	female	old	nokins
17	dead	3	male	teen	haskins
18	live	2	male		nokins
19	dead	3	female	adult	haskins
20	live	3	female		nokins
21	dead	2	male	adult	nokins
22	live	2	male	adult	nokins
23	live	3	female	teen	nokins
24	live	1	male	adult	nokins
25	dead	3	female	teen	haskins
26	live	3	female	adult	haskins
27	dead	3	male		nokins
28	dead	1	male	adult	haskins
29	live	3	female		nokins
30	dead	3	male		nokins
31	dead	1	male	adult	nokins
32	live	1	female		haskins
33	live	3	female		nokins
34	dead	2	male	old	nokins
35	dead	1	male	adult	haskins
36	dead	1	male	adult	haskins
37	live	3	male		nokins
38	dead	3	male	adult	nokins
39	dead	3	female	adult	haskins
40	live	3	female	teen	haskins
41	dead	3	female	adult	haskins
42	dead	2	female	adult	haskins
43	dead	3	male		nokins
44	live	2	female	teen	haskins
45	live	3	female	adult	nokins
46	dead	3	male		nokins
47	dead	3	male		haskins
48	live	3	female		nokins
49	dead	3	male		haskins
50	dead	3	female	adult	haskins
51	dead	3	male	teen	haskins
52	dead	3	male	adult	nokins
53	live	1	female	adult	haskins
54	live	2	female	adult	haskins
55	dead	1	male	old	haskins
56	live	1	male		nokins
57	live	2	female	adult	nokins
58	dead	3	male	adult	nokins
59	live	2	female	teen	haskins
60	dead	3	male	teen	haskins
61	dead	3	male	adult	nokins
62	live	1	female	adult	nokins
63	dead	1	male	adult	haskins
64	dead	3	male	teen	haskins
65	dead	1	male		nokins
66	live	3	male		haskins
67	live	2	female	adult	nokins
68	dead	3	male	adult	nokins
69	live	3	female	teen	haskins
70	dead	3	male	adult	haskins
71	dead	2	male	adult	nokins
72	dead	3	female	teen	haskins
73	dead	2	male	adult	nokins
74	dead	3	male	adult	haskins
75	live	3	male	adult	nokins
76	dead	3	male	adult	nokins
77	dead	3	male		nokins
78	dead	3	male		nokins
79	live	2	male	teen	haskins
80	live	3	female	adult	nokins
81	dead	3	male	adult	nokins
82	live	3	male	adult	nokins
83	live	3	female		nokins
84	dead	1	male	adult	nokins
85	live	2	female	teen	nokins
86	live	3	female	adult	haskins
87	dead	3	male	teen	haskins
88	dead	3	male		nokins
89	live	1	female	adult	haskins
90	dead	3	male	adult	nokins
91	dead	3	male	adult	nokins
92	dead	3	male	adult	nokins
93	dead	1	male	adult	haskins
94	dead	3	male	adult	haskins
95	dead	3	male	old	nokins
96	dead	3	male		nokins
97	dead	1	male	old	nokins
98	live	1	male	adult	haskins
99	live	2	female	adult	haskins
100	dead	2	male	adult	haskins
101	dead	3	female	adult	nokins
102	dead	3	male		nokins
103	dead	1	male	adult	haskins
104	dead	3	male	adult	nokins
105	dead	3	male	adult	haskins
106	dead	3	male	adult	nokins
107	live	3	female	adult	nokins
108	live	3	male		nokins
109	dead	3	male	adult	nokins
110	live	3	female		haskins
111	dead	1	male	adult	nokins
112	dead	3	female	teen	haskins
113	dead	3	male	adult	nokins
114	dead	3	female	adult	haskins
115	dead	3	female	teen	nokins
116	dead	3	male	adult	nokins
117	dead	3	male	old	nokins
118	dead	2	male	adult	haskins
119	dead	1	male	adult	haskins
120	dead	3	female	teen	haskins
121	dead	2	male	adult	haskins
122	dead	3	male		nokins
123	dead	2	male	adult	haskins
124	live	2	female	adult	nokins
125	dead	1	male	adult	haskins
126	live	3	male	teen	haskins
127	dead	3	male		nokins
128	live	3	male	adult	nokins
129	live	3	female		haskins
130	dead	3	male	adult	nokins
131	dead	3	male	adult	nokins
132	dead	3	male	adult	nokins
133	dead	3	female	adult	haskins
134	live	2	female	adult	haskins
135	dead	2	male	adult	nokins
136	dead	2	male	adult	nokins
137	live	1	female	adult	haskins
138	dead	1	male	adult	haskins
139	dead	3	male	teen	nokins
140	dead	1	male	adult	nokins
141	dead	3	female		haskins
142	live	3	female	adult	nokins
143	live	3	female	adult	haskins
144	dead	3	male	adult	nokins
145	dead	2	male	adult	nokins
146	dead	2	male	adult	haskins
147	live	3	male	adult	nokins
148	dead	3	female	teen	haskins
149	dead	2	male	adult	haskins
150	dead	2	male	adult	nokins
151	dead	2	male	adult	nokins
152	live	1	female	adult	haskins
153	dead	3	male	old	nokins
154	dead	3	male	adult	haskins
155	dead	3	male		nokins
156	dead	1	male	adult	haskins
157	live	3	female	teen	nokins
158	dead	3	male	adult	nokins
159	dead	3	male		nokins
160	dead	3	male		haskins
161	dead	3	male	adult	haskins
162	live	2	female	adult	nokins
163	dead	3	male	adult	nokins
164	dead	3	male	teen	nokins
165	dead	3	male	teen	haskins
166	live	3	male	teen	haskins
167	live	1	female		haskins
168	dead	3	female	adult	haskins
169	dead	1	male		nokins
170	dead	3	male	adult	nokins
171	dead	1	male	old	nokins
172	dead	3	male	teen	haskins
173	live	3	female	teen	haskins
174	dead	3	male	adult	nokins
175	dead	1	male	old	nokins
176	dead	3	male	adult	haskins
177	dead	3	male		haskins
178	dead	1	female	adult	nokins
179	dead	2	male	adult	nokins
180	dead	3	male	adult	nokins
181	dead	3	female		haskins
182	dead	2	male		nokins
183	dead	3	male	teen	haskins
184	live	2	male	teen	haskins
185	live	3	female	teen	haskins
186	dead	1	male		nokins
187	live	3	female		haskins
188	live	1	male	adult	nokins
189	dead	3	male	adult	haskins
190	dead	3	male	adult	nokins
191	live	2	female	adult	nokins
192	dead	2	male	adult	nokins
193	live	3	female	adult	haskins
194	live	2	male	teen	haskins
195	live	1	female	adult	nokins
196	live	1	female	old	nokins
197	dead	3	male		nokins
198	dead	3	male	adult	haskins
199	live	3	female		nokins
200	dead	2	female	adult	nokins
201	dead	3	male	adult	nokins
202	dead	3	male		haskins
203	dead	3	male	adult	nokins
204	dead	3	male	adult	nokins
205	live	3	male	adult	nokins
206	dead	3	female	teen	haskins
207	dead	3	male	adult	haskins
208	live	3	male	adult	nokins
209	live	3	female	teen	nokins
210	live	1	male	adult	nokins
211	dead	3	male	adult	nokins
212	live	2	female	adult	nokins
213	dead	3	male	adult	nokins
214	dead	2	male	adult	nokins
215	dead	3	male		haskins
216	live	1	female	adult	haskins
217	live	3	female	adult	nokins
218	dead	2	male	adult	haskins
219	live	1	female	adult	nokins
220	dead	2	male	adult	nokins
221	live	3	male	teen	nokins
222	dead	2	male	adult	nokins
223	dead	3	male	adult	nokins
224	dead	3	male		nokins
225	live	1	male	adult	haskins
226	dead	3	male	adult	nokins
227	live	2	male	adult	nokins
228	dead	3	male	adult	nokins
229	dead	2	male	adult	nokins
230	dead	3	female		haskins
231	live	1	female	adult	haskins
232	dead	3	male	adult	nokins
233	dead	2	male	old	nokins
234	live	3	female	teen	haskins
235	dead	2	male	adult	nokins
236	dead	3	female		nokins
237	dead	2	male	adult	haskins
238	live	2	female	teen	haskins
239	dead	2	male	adult	nokins
240	dead	2	male	adult	nokins
241	dead	3	female		haskins
242	live	3	female		haskins
243	dead	2	male	adult	nokins
244	dead	3	male	adult	nokins
245	dead	3	male	adult	nokins
246	dead	1	male	adult	haskins
247	dead	3	female	adult	nokins
248	live	2	female	adult	haskins
249	live	1	male	adult	haskins
250	dead	2	male	adult	haskins
251	dead	3	male		nokins
252	dead	3	female	adult	haskins
253	dead	1	male	old	nokins
254	dead	3	male	adult	haskins
255	dead	3	female	adult	haskins
256	live	3	female	adult	haskins
257	live	1	female		nokins
258	live	1	female	adult	nokins
259	live	1	female	adult	nokins
260	live	2	female	adult	haskins
261	dead	3	male		nokins
262	live	3	male	teen	haskins
263	dead	1	male	adult	haskins
264	dead	1	male	adult	nokins
265	dead	3	female		nokins
266	dead	2	male	adult	nokins
267	dead	3	male	teen	haskins
268	live	3	male	adult	haskins
269	live	1	female	old	haskins
270	live	1	female	adult	nokins
271	dead	1	male		nokins
272	live	3	male	adult	nokins
273	live	2	female	adult	haskins
274	dead	1	male	adult	haskins
275	live	3	female		nokins
276	live	1	female	old	haskins
277	dead	3	female	adult	nokins
278	dead	2	male		nokins
279	dead	3	male	teen	haskins
280	live	3	female	adult	haskins
281	dead	3	male	old	nokins
282	dead	3	male	adult	nokins
283	dead	3	male	teen	nokins
284	live	3	male	adult	nokins
285	dead	1	male		nokins
286	dead	3	male	adult	nokins
287	live	3	male	adult	nokins
288	dead	3	male	adult	nokins
289	live	2	male	adult	nokins
290	live	3	female	adult	nokins
291	live	1	female	adult	nokins
292	live	1	female	adult	haskins
293	dead	2	male	adult	nokins
294	dead	3	female	adult	nokins
295	dead	3	male	adult	nokins
296	dead	1	male		nokins
297	dead	3	male	adult	nokins
298	dead	1	female	teen	haskins
299	live	1	male		nokins
300	live	1	female	adult	haskins
301	live	3	female		nokins
302	live	3	male		haskins
303	dead	3	male	adult	nokins
304	live	2	female		nokins
305	dead	3	male		nokins
306	live	1	male	teen	haskins
307	live	1	female		nokins
308	live	1	female	teen	haskins
309	dead	2	male	adult	haskins
310	live	1	female	adult	nokins
311	live	1	female	adult	nokins
